,link,Category,Brand,Name,Label,Reviews,Rating,No. of Colours,Color Selected,Colour Names,All Sizes,Current Price,Old Price,About the Product,Collection,Bedding Set Includes  ,Set Size  ,Fabric FiberType  ,Soft Textiles Material  ,Reversible  ,Reversible Fabric Fiber  ,"Thread Count         ""The number of threads per square inch of fabric; helps determine the softness""     ","Weave         ""Textile production method that has an impact on how the beeding feels""     ",Duvet Closure Type  ,Inside Corner Tie  ,Care Instructions  ,Pattern Design  ,Life Stage  ,Made In  ,"Embellishment         ""A decorative detail or feature added to something to make it more attractive""     ",Hardlines Additional Features  ,Warranty  ,Sham Width in  ,Product Type  ,Soft Textiles Reverse Material  ,Anti Allergy Asthma Benefit  ,Unique Features  ,Reverse Pattern Design  ,Third Party Certification  ,Fill Material  ,"Fill Weight         ""The number of ounces of down feathers and a main factor of warmth level""     ",Soft Textiles Additional Features  ,Bedding Performance Features  ,Down Level of Warmth  ,Fill Power  ,Flat Sheet Width in  ,Fitted Sheet Length in  ,Fitted Sheet Width in  ,Sham Length in  ,Drop Length  ,Mattress Depth  ,Pillowcase Length in  ,Pillowcase Width in  ,Bed Bug Barrier  ,Flat Sheet Length in  ,Comforter Duvet Length in  ,Items Included  ,Water Resistance Repellant  ,Soft Textiles Special Finishing  ,License  
0,https://www.bedbathandbeyond.com/store/product/nestwell-washed-linen-cotton-3-piece-duvet-cover-set/5544670?categoryId=15507,Solid Duvet Covers, ,Nestwell® Washed Linen Cotton 3-Piece Full/Queen Duvet Cover Set in White,Best Seller,62,3.9206349206349205,5,  White,"['BLUSH', 'GREY', 'NATURAL', 'WHITE', 'BLUSH']",TWIN,$96.00,$120.00," Why we love this...Made of a blend of cotton and linenClean design and garment washed  Classic design atop of the bedPillow shams coordinate with top of bedGarment washed for softnessTwin duvet cover set includes:68"" W x 90"" L duvet cover20"" W x 26"" L standard pillow shamFull/Queen duvet cover set includes:92"" W x 96"" L duvet coverTwo 20"" W x 26"" L standard pillow shamsKing duvet cover set includes:110"" W x 96"" L duvet coverTwo 20"" W x 36"" L king pillow shamsSham features an envelope closureDuvet cover features button closures and inside corner ties60% linen/40% cottonMachine wash in a commercial washer, but for best results, dry cleaning is recommendedImportedEach sold separatelyskuId: 69632554   read more  ",[],"2 Shams, Duvet cover",3 piece set,60% Linen/40% Cotton,Linen,Non-Reversible,60% Linen/40% Cotton,124 thread count,Plain weave,Button,Inside Corner Tie,"Machine wash, dry cleaning recommended",Solid,Adult,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,https://www.bedbathandbeyond.com/store/product/nestwell-gauze-tucked-3-piece-duvet-cover-set/5698472?categoryId=15507,Solid Duvet Covers, ,Nestwell™ Gauze Tucked 3-Piece Full/Queen Duvet Cover Set in Sharkskin,Best Seller,0, ,9,,"['ALMONDINE', 'MOONBEAM', 'SHARKSKIN', 'SPA', 'WHITE', 'ALMONDINE', 'MOONBEAM', 'SPA', 'WHITE']",FULL/QUEEN,$96.00,$120.00," Why we love this...Pintuck detailing gives textural appeal to your beddingPillow sham matches top of bed for a complete look  Textured design features pintuck detailsPillow sham matches top of bedFull/Queen duvet cover set includes:92"" W x 96"" L duvet coverTwo 20"" W x 26"" L standard pillow shamsKing duvet cover set includes:110"" W x 96"" L duvet coverTwo 20"" W x 36"" L king pillow shamsDuvet has a button closure with inside corner tiePillow sham has a standard closure for easy in and out95% cotton/5% linen face; 100% cotton reverseMachine washCertified STANDARD 100 by OEKO-TEX®ImportedCoordinate with other items in the Nestwell Gauze Tucked Bedding Collection for a complete look (sold separately)skuId: 69853368   read more  ",[],"Duvet cover, 2 Shams",3 piece set,95% Cotton/5% Linen,Cotton blend,Non-Reversible,100% Cotton,,Plain weave,Button,Inside Corner Tie,Machine wash in commercial washer,,Adult,Imported,"Textured, Quilted",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,https://www.bedbathandbeyond.com/store/product/ugg-devon-3-piece-duvet-cover-set/5363123?categoryId=15507,Solid Duvet Covers, ,UGG® Devon 3-Piece Full/Queen Duvet Cover Set in Succulent,Best Seller,64,3.5076923076923077,8,  Succulent,"['BLUSH', 'CABERNET', 'CHARCOAL', 'NAVY', 'QUARTZ', 'SHADOW', 'SUCCULENT', 'CHARCOAL']",TWIN/TWIN XL DUVET SET, ,$99.99," Create a cozy and sumptuous layer of comfort in your bedroom with the Devon Duvet Cover Set from UGG. The sophisticated bedding is rendered in a solid or printed pattern that gives your room a contemporary makeover   Solid or printed pattern gives your room a contemporary makeover Pillow shams coordinate with the top of a bed Twin/Twin XL duvet cover set includes:  66"" W x 90"" L duvet cover 20"" W x 26"" L standard pillow sham   Full/Queen duvet cover set includes:  90"" W x 90"" L duvet cover Two 20"" W x 26"" L standard pillow shams   King duvet cover set includes:  90"" W x 106"" L duvet cover Two 20"" W x 36"" L king pillow shams   Shams feature a standard closure Duvet features a button closure Ocean plaid duvet features a zipper closure 100% polyester Machine wash Year-round warmth Imported Each UGG Devon Duvet Cover Set is sold separatelyskuId: 69581373   read more  ",[],"2 Shams, Duvet cover",3 piece set,100% Polyester,Polyester,,100% Polyester,,,Button,,"Machine wash cold, tumble dry low",Solid,"Adult, Teen",Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,https://www.bedbathandbeyond.com/store/product/the-threadery-cotton-cashmere-3-piece-duvet-cover-set/5680560?categoryId=15507,Solid Duvet Covers, ,The Threadery™ Cotton Cashmere 3-Piece King Duvet Cover Set in Light Grey,Only at BB&B,0, ,3,  Light Grey,"['CHARCOAL', 'OATMEAL', 'OATMEAL']",QUEEN,$272.00,$340.00," Why we love this...Warm and cozy design offers a better sleepUltra soft cotton is soft and comfortable against skin   Queen duvet cover set includes:  92"" W x 96"" L duvet cover Two 20"" W x 30"" L standard pillow shams   King duvet cover set includes:  110"" W x 96"" L duvet cover Two 20"" W x 36"" L king pillow shams   190 thread count Button closure 90% cotton/10% cashmere Machine wash Certified STANDARD 100 by OEKO-TEX® Each The Threadery Cotton Cashmere Duvet Cover Set is sold separatelyskuId: 69830318   read more  ",[],"Duvet cover, 2 Shams",3 piece set,90% Cotton/10% Cashmere,Cotton blend,,90% Cotton/10% Cashmere,190 thread count,Twill weave,Button,Inside Corner Tie,"Machine wash cold, tumble dry low",,Adult,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,https://www.bedbathandbeyond.com/store/product/simply-essentialtm-garment-washed-duvet-set/5594187?categoryId=15507,Pattern Duvet Covers, ,Simply EssentialTM Garment Washed 3-Piece King Duvet Set in White,Only at BB&B,30,3.2,7,  White,"['BLUE', 'GREY', 'MARBLE', 'NAVY', 'ROSEWATER', 'SANDSHELL', 'WHITE']",TWIN/TWIN XL DUVET SET,$56.00,$70.00," The Garment Washed Duvet Set offers a stylish look for your bedroom. Paired with matching pillow shams, the 100% cotton set is available in an array of solid colors and printed options to suite your style.   Twin Duvet set includes:  68"" W x 90"" L duvet cover 20"" W x 26"" L standard pillow sham   Full/Queen Duvet set includes:  92"" W x 96"" L duvet cover Two 20"" W x 26"" L standard pillow shams   King duvet set includes:  96"" W x 110"" L duvet Two 20"" W x 36"" L king pillow shams   180 thread count 100% cotton 100% polyester fill Machine wash Imported Each Garment Washed Duvet Set is sold separatelyskuId: 69710553   read more  ",[],"Duvet cover, 2 Shams",3 piece set,100% Cotton,Cotton,,100% Cotton,180 thread count,Percale weave,Button,Inside Corner Tie,Machine washable,Solid,Adult,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,https://www.bedbathandbeyond.com/store/product/the-threadery-3-piece-pima-cotton-duvet-cover-set/5709177?categoryId=15507,Solid Duvet Covers, ,The Threadery™ 3-Piece Pima Cotton King Duvet Cover Set in Rainy Day,Best Seller,0, ,0,  Bright White,[],FULL/QUEEN,$240.00,$300.00," Why we love this...Crafted of cozy Pima Cotton1000 thread count surrounds you in softness   Bring quality and luxury to your bedroom with this cozy duvet cover set Sateen-weave for comfort Full/Queen duvet cover set includes:  92"" W x 96"" L duvet cover Two 20"" W x 26"" L standard pillow shams   King duvet cover set includes:  110"" W x 26"" L duvet cover Two 20"" W x 36"" L king pillow shams   Duvet cover features button closure Standard pillow sham closure 1000 thread count 100% Pima Cotton Machine wash Imported Each The Threadery Pima Cotton Duvet Cover Set is sold separatelyskuId: 69866734   read more  ",[],"2 Shams, Duvet cover",3 piece set,100% Pima cotton,Cotton,,100% Pima cotton,1000 thread count,Sateen weave,Button,Inside Corner Tie,Machine wash and dry,Solid,Adult,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,https://www.bedbathandbeyond.com/store/product/nestwell-pinstripe-cotton-linen-3-piece-duvet-cover-set/5544706?categoryId=15507,Solid Duvet Covers, ,Nestwell™ Pinstripe Cotton Linen 3-Piece King Duvet Cover Set in White/Black,Best Seller,12,4.25,0,  White/black,[],TWIN,$55.99, ," Why we love this...Crafted of a soft cotton and linen blendPinstripe design and quilted detailing  Pinstripe design and quilted detailing on the duvet coverPillow shams coordinate with top of bedTwin duvet cover set includes:68"" W x 90"" L duvet cover20"" W x 26"" L standard pillow shamFull/Queen duvet cover set includes:92"" W x 96"" L duvet coverTwo 20"" W x 26"" L standard pillow shamsKing duvet cover set includes:110"" W x 96"" L duvet coverTwo 20"" W x 36"" L king pillow shamsDuvet cover features button closures with inner corner tiesPillow shams feature standard style closures200 thread count87% cotton/13% linen face; 100% cotton reverseMachine wash180-day limited manufacturer's warrantyImportedEach Nestwell Pinstripe Duvet Cover Set is sold separatelyskuId: 69633752   read more  ",[],"2 Shams, Duvet cover",3 piece set,88% Cotton/12% Linen,Cotton,Non-Reversible,100% Cotton,200 thread count,Plain weave,Button,Inside Corner Tie,Machine washable,,Adult,Imported,,Iron safe,180 days limited warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,https://www.bedbathandbeyond.com/store/product/nestwell-solid-sateen-3-piece-duvet-cover-set/5601134?categoryId=15507,Solid Duvet Covers, ,Nestwell™ Solid Sateen 2-Piece Twin Duvet Cover Set in Bright White,Only at BB&B,55,3.142857142857143,1,,['PERISCOPE'],TWIN,$52.00,$65.00," Why we love this...Stylish solid tones lend a clean, classic lookSilky smooth cotton sateen construction   Pillow shams match the top of the bed for a complete look Twin duvet cover set includes:  68"" W x 86"" L duvet cover 20"" W x 26"" L standard pillow sham   Full/Queen duvet cover set includes:  88"" W x 90"" L duvet cover Two 20"" W x 26"" L standard pillow shams   King duvet cover set includes:  104"" W x 90"" L duvet cover Two 20"" W x 36"" L king pillow shams   Duvet cover features a zipper closure Pillow shams feature envelope style closures 450 thread count 100% cotton sateen Machine wash Imported Coordinate with Nestwell Solid Sateen accessories for a complete look (each sold separately)skuId: 69719026   read more  ",[],"Duvet cover, 1 Sham",2 piece set,100% Cotton sateen,Cotton,Non-Reversible,100% Cotton sateen,450 thread count,Sateen weave,Zipper,,Machine washable,Solid,Adult,Imported,Piping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,https://www.bedbathandbeyond.com/store/product/everhome-reid-ladder-stitch-3-piece-duvet-cover-set/5649407?categoryId=15507,Solid Duvet Covers, ,Everhome™ Reid Ladder Stitch 3-Piece King Duvet Cover Set in White,Only at BB&B,7,4.125,6,  White,"['BLUE', 'GREY', 'NATURAL', 'WHITE', 'BLUE', 'GREY']",FULL/QUEEN,$160.00,$200.00," Why we love this...Soft cotton and linen blend with a ladder lace stitch designComes with coordinating pillow shams for a complete look   Full/Queen duvet cover set includes:  92"" W x 96"" L duvet cover Two 20"" W x 26"" L standard pillow shams   King/California King duvet cover set includes:  110"" W x 96"" L duvet cover Two 20"" W x 36"" L king pillow shams   Duvet cover features button closures with inner corner ties Pillow shams have standard style closures 55% linen/45% cotton Machine wash Imported Coordinate with Everhome Reid Ladder Stitch accessories for a complete look (each sold separately)skuId: 69776137   read more  ",[],"Duvet cover, 2 Shams",3 piece set,55% Linen/45% Cotton,Linen,Non-Reversible,55% Linen/45% Cotton,,Plain weave,Button,Inside Corner Tie,Machine wash in commercial washer,Solid,Adult,Imported,Lace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,https://www.bedbathandbeyond.com/store/product/the-threadery-linen-duvet-cover-set/5701632?categoryId=15507,Solid Duvet Covers, ,The Threadery™ 3-Piece King Linen Duvet Cover Set in Vanilla,Only at BB&B,0, ,2,  Vanilla,"['NATURAL', 'VANILLA']",QUEEN,$304.00,$380.00," Why we love this...Duvet cover set softens with every washCrafted of lightweight linen fabric  Linen duvet cover balances laid-back, luxurious style with eleganceWashed for exceptional softness with a broken-in feel you'll treasureDesigned to resist shrinking and wrinklesSoftens with every washSingle-needle stitch flange helps it lay flat for definition on your bedQueen duvet cover set includes:96"" W x 92"" L duvet coverTwo 30"" W x 20"" L pillow shamsKing duvet cover includes:98"" W x 110"" LTwo 20"" W x 36"" L pillow shams185 thread countEnvelope sham closureInside corner tie100% linenMachine wash and dryCertified STANDARD 100 by OEKO-TEX® #6760CIT by CITEVE http://www.oeko-tex.com/standard100ImportedCoordinate with other items in The Threadery Linen Bedding Collection (sold separately)skuId: 69855432   read more  ",[],"Duvet cover, 2 Shams",3 piece set,100% Linen,Linen,Non-Reversible,,185 thread count,Plain weave,Button,Inside Corner Tie,Machine wash and dry,,Adult,Made in Portugal,Buttons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
